Prov/Terr,FED ID,Federal Electoral Districts_x,Total_x,Total Income_x,Total_y,Total Income_y,Province,Federal Electoral Districts_y,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Party Won
10,10001.0,Avalon,35410,2129874000.0,36620,1295940000,Newfoundland and Labrador,Avalon,81540,68487,220,42086,99.6,162,0.4,42248,61.7,Liberal
10,10002.0,Bonavista--Burin--Trinity,32200,1564974000.0,32720,888810000,Newfoundland and Labrador,Bonavista--Burin--Trinity,76704,62462,260,35092,99.5,173,0.5,35265,56.5,Liberal
10,10003.0,Coast of Bays--Central--Notre Dame,31830,1506208000.0,33290,951860000,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,78092,64226,233,35448,99.6,145,0.4,35593,55.4,Liberal
10,10004.0,Labrador,10510,755063000.0,10330,414185000,Newfoundland and Labrador,Labrador,26728,20045,84,12373,99.6,53,0.4,12426,62.0,Liberal
10,10005.0,Long Range Mountains,37670,1729013000.0,39580,1185410000,Newfoundland and Labrador,Long Range Mountains,87592,71918,253,41824,99.7,108,0.3,41932,58.3,Liberal
10,10006.0,St. John's East,32300,2121325000.0,34380,1546945000,Newfoundland and Labrador,St. John's East,81936,66304,186,44880,99.8,111,0.2,44991,67.9,Liberal
10,10007.0,St. John's South--Mount Pearl,31420,1739870000.0,34850,1346448000,Newfoundland and Labrador,St. John's South--Mount Pearl,81944,67596,185,44801,99.7,133,0.3,44934,66.5,Liberal
11,11001.0,Cardigan,14600,684481000.0,15380,553128000,Prince Edward Island,Cardigan,36005,28889,90,22485,99.6,96,0.4,22581,78.2,Liberal
11,11002.0,Charlottetown,13850,627964000.0,15800,564523000,Prince Edward Island,Charlottetown,34562,28129,82,21165,99.5,99,0.5,21264,75.6,Liberal
11,11003.0,Egmont,14140,598576000.0,15170,481397000,Prince Edward Island,Egmont,34598,27858,86,21362,99.6,87,0.4,21449,77.0,Liberal
11,11004.0,Malpeque,14120,665908000.0,14770,528673000,Prince Edward Island,Malpeque,35039,28629,81,22472,99.5,102,0.5,22574,78.9,Liberal
12,12001.0,Cape Breton--Canso,28830,1278942000.0,31120,955229000,Nova Scotia,Cape Breton--Canso,75247,60785,218,43237,99.4,274,0.6,43511,71.6,Liberal
12,12002.0,Central Nova,28870,1352088000.0,31170,1018320000,Nova Scotia,Central Nova,74597,60594,224,44263,99.5,233,0.5,44496,73.4,Liberal
12,12003.0,Cumberland--Colchester,31700,1353689000.0,34380,1064496000,Nova Scotia,Cumberland--Colchester,82321,65461,218,46332,99.6,178,0.4,46510,71.0,Liberal
12,12004.0,Dartmouth--Cole Harbour,35120,1846899000.0,39560,1513362000,Nova Scotia,Dartmouth--Cole Harbour,91212,73710,200,52270,99.6,201,0.4,52471,71.2,Liberal
12,12005.0,Halifax,34670,1926721000.0,37770,1656041000,Nova Scotia,Halifax,92643,73379,208,53032,99.5,259,0.5,53291,72.6,Liberal
12,12006.0,Halifax West,35300,2054653000.0,39920,1664857000,Nova Scotia,Halifax West,87275,70515,238,50079,99.6,181,0.4,50260,71.3,Liberal
12,12007.0,Kings--Hants,32350,1495419000.0,34870,1136792000,Nova Scotia,Kings--Hants,83306,67213,218,46686,99.6,202,0.4,46888,69.8,Liberal
12,12008.0,Sackville--Preston--Chezzetcook,33600,1884827000.0,35820,1346214000,Nova Scotia,Sackville--Preston--Chezzetcook,85583,68040,196,48301,99.6,180,0.4,48481,71.3,Liberal
12,12009.0,South Shore--St. Margarets,37950,1886609000.0,40070,1305736000,Nova Scotia,South Shore--St. Margarets,92561,76181,253,52775,99.6,226,0.4,53001,69.6,Liberal
12,12010.0,Sydney--Victoria,28520,1129199000.0,31670,945319000,Nova Scotia,Sydney--Victoria,73328,59994,202,40974,99.4,236,0.6,41210,68.7,Liberal
12,12011.0,West Nova,34010,1421060000.0,36140,1044859000,Nova Scotia,West Nova,83654,67059,227,45679,99.4,271,0.6,45950,68.5,Liberal
13,13001.0,Acadie--Bathurst,33750,1410982000.0,34610,997654000,New Brunswick/Nouveau-Brunswick,Acadie--Bathurst,79340,66799,237,50963,99.3,336,0.7,51299,76.8,Liberal
13,13002.0,Beauséjour,34110,1562205000.0,35140,1239967000,New Brunswick/Nouveau-Brunswick,Beauséjour,80416,66891,215,52936,99.4,320,0.6,53256,79.6,Liberal
13,13003.0,Fredericton,31020,1625320000.0,33630,1288034000,New Brunswick/Nouveau-Brunswick,Fredericton,81759,61947,168,46722,99.6,188,0.4,46910,75.7,Liberal
13,13004.0,Fundy Royal,31240,1656917000.0,32800,1149579000,New Brunswick/Nouveau-Brunswick,Fundy Royal,79331,63089,193,46820,99.5,241,0.5,47061,74.6,Liberal
13,13005.0,Madawaska--Restigouche,25560,1036183000.0,26660,796059000,New Brunswick/Nouveau-Brunswick,Madawaska--Restigouche,62540,50907,171,37306,99.1,348,0.9,37654,74.0,Liberal
13,13006.0,Miramichi--Grand Lake,23780,921341000.0,24710,693300000,New Brunswick/Nouveau-Brunswick,Miramichi--Grand Lake,59343,48331,160,36364,99.3,256,0.7,36620,75.8,Liberal
13,13007.0,Moncton--Riverview--Dieppe,35420,1661007000.0,39660,1405081000,New Brunswick/Nouveau-Brunswick,Moncton--Riverview--Dieppe,89484,71982,192,52041,99.4,311,0.6,52352,72.7,Liberal
13,13008.0,New Brunswick Southwest,26300,1303435000.0,27230,890126000,New Brunswick/Nouveau-Brunswick,New Brunswick Southwest,66197,51729,180,37926,99.4,220,0.6,38146,73.7,Liberal
13,13009.0,Saint John--Rothesay,30220,1513139000.0,33860,1195552000,New Brunswick/Nouveau-Brunswick,Saint John--Rothesay,82129,61722,176,42281,99.5,205,0.5,42486,68.8,Liberal
13,13010.0,Tobique--Mactaquac,27300,1203876000.0,28350,864512000,New Brunswick/Nouveau-Brunswick,Tobique--Mactaquac,70632,54145,184,38427,99.4,248,0.6,38675,71.4,Liberal
24,24001.0,Abitibi--Baie-James--Nunavik--Eeyou,31320,1563287000.0,31510,908783000,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,85475,63632,191,34518,98.3,609,1.7,35127,55.2,NDP
24,24002.0,Abitibi--Témiscamingue,42100,2233822000.0,41750,1319401000,Quebec,Abitibi--Témiscamingue,102794,82968,272,49729,98.5,741,1.5,50470,60.8,NDP
